UID,Strike,Twitch,No Strike,Partial Strike,Drugs,Side,Orientation,delta t
1,1,0,0,0,QNB,Opp,LR,50
1,0,0,1,0,QNB,Opp,LR,50
1,0,0,0,1,QNB,Opp,LR,50
1,0,0,0,1,QNB,Opp,RL,100
1,1,0,0,0,QNB,Opp,RL,100
2,0,0,1,0,QNB,Opp,LR,100
2,0,0,1,0,QNB,Opp,LR,100
2,0,1,0,0,QNB,Opp,LR,100
2,0,0,1,0,QNB,Opp,LR,50
3,0,1,0,0,QNB,Opp,RL,50
3,1,0,0,0,QNB,Opp,RL,50
3,0,1,0,0,QNB,Opp,RL,50
3,1,0,0,0,QNB,Opp,LR,100
3,0,0,1,0,QNB,Opp,LR,100
4,0,0,1,0,QNB,Opp,LR,100
4,0,0,1,0,QNB,Opp,LR,50
4,0,1,0,0,QNB,Opp,LR,50
4,0,1,0,0,QNB,Opp,LR,100
5,0,0,1,0,QNB,Opp,LR,100
5,1,0,0,0,QNB,Opp,LR,50
5,1,0,0,0,QNB,Opp,LR,50
5,0,0,1,0,QNB,Opp,RL,50
5,0,0,1,0,QNB,Opp,RL,100
6,0,0,0,1,QNB,Opp,RL,50
6,0,1,0,0,QNB,Opp,LR,50
6,0,1,0,0,QNB,Opp,RL,100
6,0,1,0,0,QNB,Opp,RL,100
6,0,1,0,0,QNB,Opp,RL,100
7,1,0,0,0,QNB,Opp,RL,50
7,0,1,0,0,QNB,Opp,RL,50
7,0,0,0,1,QNB,Opp,RL,50
7,1,0,0,0,QNB,Opp,RL,50
7,0,1,0,0,QNB,Opp,LR,50
7,1,0,0,0,QNB,Opp,RL,50
8,0,1,0,0,QNB,Opp,RL,100
8,1,0,0,0,QNB,Opp,RL,100
8,1,0,0,0,QNB,Opp,RL,100
8,0,0,1,0,QNB,Opp,RL,100
8,1,0,0,0,QNB,Opp,LR,100
9,0,1,0,0,QNB,Opp,LR,100
9,1,0,0,0,QNB,Opp,LR,100
9,0,1,0,0,QNB,Opp,LR,100
9,1,0,0,0,QNB,Opp,LR,100
